iteration,a,b,c,quality
108,580555710398.0381,0.07214575977942195,-271597937404.18167,2.359946404129488e+25
109,580555710398.0381,0.07215055524079642,-271597937404.18167,2.3597404872612776e+25
110,580555710398.0381,0.07216993359974383,-271597937404.18164,2.361086182292913e+25
111,580555710398.0381,0.07218868146158101,-271597937404.1816,2.360536852931963e+25
112,580555710398.0381,0.07219332218556955,-271597937404.1816,2.359458910028461e+25
113,580555710398.0381,0.07218177398266676,-271597937404.1816,2.360162298143418e+25
114,580555710398.0381,0.07216394486663512,-271597937404.18164,2.3606021713776843e+25
115,580555710398.0381,0.07215344948569194,-271597937404.18164,2.3597030050893124e+25
116,580555710398.0381,0.07215730948123683,-271597937404.18164,2.359596391828617e+25
117,580555710398.0381,0.07217136666612138,-271597937404.18164,2.3602595156124114e+25
118,580555710398.0381,0.07218427666973702,-271597937404.18164,2.3599531712673477e+25
119,580555710398.0381,0.0721865229220227,-271597937404.18164,2.3594519903170413e+25
120,580555710398.0381,0.07217740227434949,-271597937404.18164,2.3598424182673877e+25
121,580555710398.0381,0.07216482317227677,-271597937404.18164,2.359993666524353e+25
122,580555710398.0381,0.0721585942599045,-271597937404.18164,2.3595330294544044e+25
123,580555710398.0381,0.0721628433631641,-271597937404.18164,2.359565269094745e+25
124,580555710398.0381,0.07217337620440466,-271597937404.18164,2.3598673210166856e+25
125,580555710398.0381,0.0721815670631743,-271597937404.18164,2.35964074642049e+25
126,580555710398.0381,0.07218133928465276,-271597937404.18164,2.3594591930584236e+25
127,580555710398.0381,0.07217364630865117,-271597937404.18164,2.359692851053822e+25
128,580555710398.0381,0.07216513825486158,-271597937404.18164,2.3596819157628138e+25
129,580555710398.0381,0.07216250118913037,-271597937404.18164,2.359461666198598e+25
130,580555710398.0381,0.07216724749754086,-271597937404.18164,2.3595550220481985e+25
131,580555710398.0381,0.07217497795128754,-271597937404.18164,2.3596557304415063e+25
132,580555710398.0381,0.07217933377434725,-271597937404.18164,2.359498910455548e+25
133,580555710398.0381,0.07217718349558844,-271597937404.18164,2.3594790734518944e+25
134,580555710398.0381,0.07217083792232461,-271597937404.18164,2.3595965953865826e+25
135,580555710398.0381,0.07216574170800792,-271597937404.18164,2.359526980198183e+25
136,580555710398.0381,0.0721658512977658,-271597937404.18164,2.359453375073208e+25
137,580555710398.0381,0.07217059521847266,-271597937404.18164,2.3595367498943487e+25
138,580555710398.0381,0.07217572210383551,-271597937404.18164,2.359533622372153e+25
139,580555710398.0381,0.07217704805590205,-271597937404.18164,2.3594544682111765e+25
140,580555710398.0381,0.07217384916916744,-271597937404.18164,2.3594925778184754e+25
141,580555710398.0381,0.07216915577642176,-271597937404.18164,2.3595233526197806e+25
142,580555710398.0381,0.07216694735915356,-271597937404.18164,2.3594637581828016e+25
143,580555710398.0381,0.07216880522637219,-271597937404.18164,2.3594668673849515e+25
144,580555710398.0381,0.07217281955258303,-271597937404.18164,2.359505569100789e+25
145,580555710398.0381,0.07217546780934664,-271597937404.18164,2.359471419901433e+25
146,580555710398.0381,0.0721746770609733,-271597937404.18164,2.3594552211753364e+25
147,580555710398.0381,0.0721714278738766,-271597937404.18164,2.3594876584610097e+25
148,580555710398.0381,0.07216866892841224,-271597937404.18164,2.3594743819535492e+25
149,580555710398.0381,0.07216867054213785,-271597937404.18164,2.3594519182549217e+25
150,580555710398.0381,0.07217117331312678,-271597937404.18164,2.3594733520637944e+25
151,580555710398.0381,0.07217382716791718,-271597937404.18164,2.359473328656682e+25
152,580555710398.0381,0.07217436513578869,-271597937404.18164,2.3594523382359455e+25
153,580555710398.0381,0.07217252684234442,-271597937404.18164,2.35946352156913e+25
154,580555710398.0381,0.07217010658002478,-271597937404.18164,2.359469985756695e+25
155,580555710398.0381,0.07216923481368769,-271597937404.18164,2.3594537402843266e+25
156,580555710398.0381,0.07217051659100551,-271597937404.18164,2.359457542200507e+25
157,580555710398.0381,0.0721726431985342,-271597937404.18164,2.359465923886771e+25
158,580555710398.0381,0.07217369225282232,-271597937404.18164,2.3594548840830496e+25
159,580555710398.0381,0.0721728522881341,-271597937404.18164,2.35945427880385e+25
